task_id,ts_ms,true,pred,confidence,latency_us,ram_bytes,throughput_ips,status
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,3,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,5,1,1,1.0,3,200,333333,0
0,5,1,1,1.0,3,200,333333,0
0,5,1,1,1.0,3,200,333333,0
0,5,1,1,1.0,3,200,333333,0
0,5,1,1,1.0,3,200,333333,0
0,5,1,1,1.0,3,200,333333,0
