task_id,ts_ms,true,pred,confidence,latency_us,ram_bytes,throughput_ips,status
0,0,1,1,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,0,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,1,1,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,1,0,0,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,1,1,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,2,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,3,0,0,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,1,1,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,4,0,0,1.0,3,200,333333,0
0,5,0,0,1.0,3,200,333333,0
